Title,Date Filed
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Hindel_v_Husted.txt,2017-11-13
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Robles_v_Domino's_Pizza_LLC.txt,2019-01-15
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Kohler_v_Presidio_Int'l_Inc.txt,2015-03-20
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Perez_v_Doctors_Hosp_at_Renaissance_Ltd.txt,2015-08-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Huck_v_Kone_Inc.txt,2013-08-26
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/United_States_v_WHPC-DWR_LLC.txt,2012-06-29
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Kelley_v_Smith's_Food_&_Drug_Ctrs_Inc.txt,2019-11-27
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Taylor_v_Harbour_Pointe_Homeowners_Ass'n.txt,2012-08-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Taylor_v_Augusta-Richmond_Cnty_Consol_Comm'rs.txt,2015-10-07
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Thornton_v_Hosp_Mgmt_Assocs.txt,2019-10-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Smith_v_Noah_Webster_Basic_Sch.txt,2010-07-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Davis_v_Columbus_Consol_Gov't.txt,2020-09-28
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Murphy_v_Kamphuis.txt,2021-09-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Nat'l_Ass'n_of_the_Deaf_v_Florida.txt,2020-11-10
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Koessel_v_Sublette_County_Sheriff's_Dep't.txt,2013-05-14
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Seco_v_NCL_(Bah)_Ltd.txt,2014-10-02
/media/connor/bigdrive1/backup/hthesis/Honors-Thesis-ADA-project/data/input/appellate/Cusack_v_News_Am_Mktg_In-Store_Inc_LLC.txt,2010-03-30
