"","all_words","Freq"
"1262","00799",1
"1263","008",16
"1264","0080",4
"1265","00800",2
"1266","00801",3
"1267","00802",1
"1268","00803",5
"1269","00804",2
"1270","00806",2
"1271","00807",6
"1272","00808",1
"1273","00809",1
"1274","008094",1
"1275","0081",4
"1276","00811",3
"1277","00811bsj",4
"1278","00812",2
"1279","00813",2
"1280","00814",4
"1281","00815",10
"1282","00816",1
"1283","00817",5
"1284","00818",2
"1285","00819",3
"1286","0082",1
"1287","00820",6
"1288","00821",1
"1289","00822",3
"1290","00823",2
"1291","00824",3
"1292","00825",1
"1293","00827",3
"1294","00828",7
"1295","00829",2
"1296","0083",4
"1297","00830",2
"1298","00831",4
"1299","00832",2
"1300","00833",1
"1301","00834",2
"1302","00836",3
"1303","00837",3
"1304","00838",2
"1305","00839",2
"1306","0084",2
"1307","00840",1
"1308","00842",3
"1309","00843",2
"1310","00845",4
"1311","00846",2
"1312","00847",2
"1313","00848",2
"1314","00849",2
"1315","0085",2
"1316","00850",3
"1317","00851",3
"1318","00852",3
"1319","00853",2
"1320","00854",3
"1321","00855",1
"1322","00856",1
"1323","00857",5
"1324","00858",1
"1325","00859",1
"1326","0086",7
"1327","00861",1
"1328","00862",1
"1329","00863",4
"1330","00864",1
"1331","00865",3
"1332","00866",1
"1333","00867",1
"1334","00868",2
"1335","00869",7
"1336","00871",2
"1337","00872",2
"1338","00873",4
"1339","00874",1
"1340","00875",3
"1341","00876",4
"1342","00877",1
"1343","00878",4
"1344","0088",1
"1345","00881",5
"1346","00882",4
"1347","00883",1
"1348","00884",2
"1349","00885",4
"1350","00886",4
"1351","00887",2
"1352","00888",2
"1353","00889",4
"1354","0089",2
"1355","00890",2
"1356","00891",1
"1357","00892",1
"1358","00893",2
"1359","00894",2
"1360","00895",3
"1361","00896",3
"1362","00897",1
"1363","00898",4
"1364","00899",1
"1365","0089n",1
"1366","009",22
"1367","0090",1
"1368","00900",1
"1369","00901",3
"1370","00902",4
"1371","00903",5
"1372","00907",1
