"","all_words","Freq"
"1302","00843",4
"1303","00845",8
"1304","00846",4
"1305","00847",4
"1306","00848",4
"1307","00849",4
"1308","0085",4
"1309","00850",6
"1310","00851",6
"1311","00852",6
"1312","00853",4
"1313","00854",6
"1314","00855",2
"1315","00856",2
"1316","00857",10
"1317","00858",2
"1318","00859",2
"1319","0086",14
"1320","00861",2
"1321","00863",8
"1322","00864",2
"1323","00865",6
"1324","00866",2
"1325","00867",2
"1326","00868",4
"1327","00869",14
"1328","00871",4
"1329","00872",4
"1330","00873",6
"1331","00874",2
"1332","00875",6
"1333","00876",8
"1334","00877",2
"1335","00878",8
"1336","0088",2
"1337","00881",8
"1338","00882",8
"1339","00883",2
"1340","00884",4
"1341","00885",8
"1342","00886",8
"1343","00887",4
"1344","00888",4
"1345","00889",8
"1346","0089",4
"1347","00890",4
"1348","00891",2
"1349","00892",2
"1350","00893",4
"1351","00894",4
"1352","00895",6
"1353","00896",6
"1354","00897",2
"1355","00898",8
"1356","00899",2
"1357","009",44
"1358","0090",2
"1359","00900",2
"1360","00901",6
"1361","00902",8
"1362","00903",10
"1363","00907",2
"1364","00908",2
"1365","00909",2
"1366","0091",10
"1367","00910",2
"1368","00911",4
"1369","00916",6
"1370","00918",4
"1371","00919",2
"1372","00920",2
"1373","00921",2
"1374","009228",4
"1375","00923",2
"1376","00924",8
"1377","0093",2
"1378","00931",4
"1379","00933",2
"1380","00934",2
"1381","00936",8
"1382","00937",2
"1383","00938",2
"1384","00939",2
"1385","0094",2
"1386","00940",2
"1387","00941",4
"1388","00943",6
"1389","00944",2
"1390","00946",14
"1391","00948",4
"1392","00949",2
"1393","0095",6
"1394","00950",4
"1395","00953",2
"1396","00954",4
"1397","00955",4
"1398","00957",4
"1399","00958",2
"1400","00959",2
"1401","0096",2
"1402","00961",4
"1403","00962",4
"1404","00963",2
"1405","00964",2
"1406","00967",10
"1407","00968",2
"1408","00969",2
"1409","0097",6
"1410","00970",4
"1411","00971",4
"1412","00972",2
"1413","00974",6
"1414","00976",2
"1415","00977",2
"1416","00978",2
"1417","00980",2
"1418","00982",4
"1419","00983",4
"1420","00985",4
"1421","00986",2
"1422","00988",4
"1423","0099",4
"1424","00992",12
"1425","00993",2
"1426","00995",8
"1427","00997",2
"1428","00998",6
"1429","00999",6
"1430","00a",2
"1431","00a3c",2
"1432","00a3f",2
"1433","00am",62
"1434","00c2",2
"1435","00cv1563orl28dab",2
"1436","00cv2521",4
"1437","00cv6105",2
"1438","00cy3837",2
"1439","00f3b",2
"1440","00f3c",2
